Commodity_Classification,Commodity,Classification,County,Market,Date,Year,Month,Year_Month,WeekofYear,Year_Week,SupplyVolume,Retail,Wholesale,Unit
Dry_White_Maize,Dry_Maize,White_Maize,Baringo,Marigat_Market,5/24/2021,2021,5,2021-05,21,2021-21,14000,30,27,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Baringo,Kabarnet_Market,5/24/2021,2021,5,2021-05,21,2021-21,2000,40,22.22,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Baringo,Kabarnet_Market,5/24/2021,2021,5,2021-05,21,2021-21,2700,30,25,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Baringo,Marigat_Market,5/24/2021,2021,5,2021-05,21,2021-21,14000,30,27,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Baringo,Marigat_Market,5/24/2021,2021,5,2021-05,21,2021-21,14000,30,27,Kg
Dry_Maize_Mixed_Traditional,Dry_Maize,Mixed_Traditional,Baringo,Eldama_Ravine_Market,5/24/2021,2021,5,2021-05,21,2021-21,0,22,,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Baringo,Marigat_Market,5/24/2021,2021,5,2021-05,21,2021-21,15000,30,27,Kg
Dry_Maize_Mixed_Traditional,Dry_Maize,Mixed_Traditional,Baringo,Eldama_Ravine_Market,5/24/2021,2021,5,2021-05,21,2021-21,900,40,,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Baringo,Kabarnet_Market,5/24/2021,2021,5,2021-05,21,2021-21,2000,100,23,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Baringo,Marigat_Market,5/24/2021,2021,5,2021-05,21,2021-21,14000,30,27,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Baringo,Eldama_Ravine_Market,5/24/2021,2021,5,2021-05,21,2021-21,1000,35,22.22,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Baringo,Kabarnet_Market,5/24/2021,2021,5,2021-05,21,2021-21,1800,100,24.44,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Baringo,Marigat_Market,5/24/2021,2021,5,2021-05,21,2021-21,17000,30,27,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Baringo,Marigat_Market,5/24/2021,2021,5,2021-05,21,2021-21,14000,30,27,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Baringo,Kabarnet_Market,5/24/2021,2021,5,2021-05,21,2021-21,2000,100,24.44,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Baringo,Marigat_Market,5/24/2021,2021,5,2021-05,21,2021-21,13000,30,27,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Baringo,Eldama_Ravine_Market,5/24/2021,2021,5,2021-05,21,2021-21,1500,35,25.56,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Baringo,Marigat_Market,5/24/2021,2021,5,2021-05,21,2021-21,14000,30,27,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Baringo,Marigat_Market,5/24/2021,2021,5,2021-05,21,2021-21,15000,30,27,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Baringo,Eldama_Ravine_Market,5/24/2021,2021,5,2021-05,21,2021-21,900,35,22.22,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Baringo,Marigat_Market,5/24/2021,2021,5,2021-05,21,2021-21,15000,30,27,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Baringo,Eldama_Ravine_Market,5/24/2021,2021,5,2021-05,21,2021-21,450,27.78,24.44,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Baringo,Marigat_Market,5/24/2021,2021,5,2021-05,21,2021-21,13000,30,27,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Baringo,Marigat_Market,5/24/2021,2021,5,2021-05,21,2021-21,15000,30,27,Kg
